Task ID,Story ID,Epic,Feature,Story Title,Task,Priority,Complexity,Dependencies
US-05.2.1-T2,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,Implement scoring/selection logic to flag exactly one recommended option,High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.2.1-T3,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,Update UI to visually highlight the recommended option,High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.2.1-T4,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,Write unit tests for scoring logic across sample histories,High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.3.1-T1,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Define goal-based exercise selection rules (per Fitness Goal),High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-05.3.1-T2,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Define persona-based modifiers/exclusions (per persona),High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-05.3.1-T3,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Implement rule application within plan generation pipeline,High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-05.3.1-T4,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Write unit tests for goal and persona-based personalization scenarios,High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-06.1.1-T1,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Integrate Text-to-Speech SDK/service,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.1.1-T2,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Build coaching cue trigger logic tied to session state changes,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.1.1-T3,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Implement text fallback when audio is disabled or fails,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.1.1-T4,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Write integration tests for TTS playback and fallback,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.2.1-T1,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Define motivational message trigger events and templates,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.2.1-T2,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Implement event-driven motivational message generation,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.2.1-T3,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Gate proactive messages behind talkativeness setting,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.2.1-T4,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Write unit tests for trigger conditions and gating logic,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.3.1-T1,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Build persistent chat UI accessible from all primary screens,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.3.1-T2,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Implement backend AI Avatar service (LLM integration) with system prompt and guardrails,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.3.1-T3,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Integrate exercise library data into AI context for explanations,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.3.1-T4,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Implement clarifying-question behavior for ambiguous input,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.3.1-T5,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Write integration tests for chat request/response flow,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.4.1-T1,US-06.4.1,AI Avatar,Adjustable Talkativeness,Adjust how talkative my AI Avatar is,Build Settings UI control for talkativeness level,High,Small,None (foundational setting consumed by US-06.2.1 and other proactive messaging features).
US-06.4.1-T2,US-06.4.1,AI Avatar,Adjustable Talkativeness,Adjust how talkative my AI Avatar is,Implement backend storage of talkativeness preference,High,Small,None (foundational setting consumed by US-06.2.1 and other proactive messaging features).
US-06.4.1-T3,US-06.4.1,AI Avatar,Adjustable Talkativeness,Adjust how talkative my AI Avatar is,Apply talkativeness level as a gating condition across all proactive AI triggers,High,Small,None (foundational setting consumed by US-06.2.1 and other proactive messaging features).
US-06.4.1-T4,US-06.4.1,AI Avatar,Adjustable Talkativeness,Adjust how talkative my AI Avatar is,Write unit tests for each talkativeness level's gating behavior,High,Small,None (foundational setting consumed by US-06.2.1 and other proactive messaging features).
US-07.1.1-T1,US-07.1.1,Workout Session,Exercise Instructions Display,See instructions for each exercise,Build exercise instruction display UI within session screen,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) exercise library data.
US-07.1.1-T2,US-07.1.1,Workout Session,Exercise Instructions Display,See instructions for each exercise,Implement expanded-detail view/interaction,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) exercise library data.
US-07.1.1-T3,US-07.1.1,Workout Session,Exercise Instructions Display,See instructions for each exercise,Ensure exercise library instructions_text field is populated for all MVP exercises,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) exercise library data.
US-07.1.1-T4,US-07.1.1,Workout Session,Exercise Instructions Display,See instructions for each exercise,Write UI tests for instruction rendering across exercise types,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) exercise library data.
US-07.2.1-T1,US-07.2.1,Workout Session,Workout Timer,Use timers during my workout,Implement countdown/count-up timer component,High,Medium,Depends on Exercise Instructions Display (US-07.1.1) for session screen structure.
US-07.2.1-T2,US-07.2.1,Workout Session,Workout Timer,Use timers during my workout,Wire timers to exercise/rest period data from the session plan,High,Medium,Depends on Exercise Instructions Display (US-07.1.1) for session screen structure.
US-07.2.1-T3,US-07.2.1,Workout Session,Workout Timer,Use timers during my workout,Handle background/foreground timer continuity,High,Medium,Depends on Exercise Instructions Display (US-07.1.1) for session screen structure.
US-07.2.1-T4,US-07.2.1,Workout Session,Workout Timer,Use timers during my workout,Implement end-of-timer audio/visual/haptic signal,High,Medium,Depends on Exercise Instructions Display (US-07.1.1) for session screen structure.
US-07.2.1-T5,US-07.2.1,Workout Session,Workout Timer,Use timers during my workout,Write unit + UI tests for timer behavior,High,Medium,Depends on Exercise Instructions Display (US-07.1.1) for session screen structure.
US-07.3.1-T1,US-07.3.1,Workout Session,Workout Progress Indicator,See my progress through the workout,Design progress indicator UI component,Medium,Small,Depends on Exercise Instructions Display (US-07.1.1).
US-07.3.1-T2,US-07.3.1,Workout Session,Workout Progress Indicator,See my progress through the workout,Wire progress state to session exercise index,Medium,Small,Depends on Exercise Instructions Display (US-07.1.1).
US-07.3.1-T3,US-07.3.1,Workout Session,Workout Progress Indicator,See my progress through the workout,Write UI tests for progress indicator accuracy,Medium,Small,Depends on Exercise Instructions Display (US-07.1.1).
US-07.4.1-T1,US-07.4.1,Workout Session,Pause / Resume,Pause and resume my workout,Implement pause/resume state machine for session,High,Medium,Depends on Workout Timer (US-07.2.1).
US-07.4.1-T2,US-07.4.1,Workout Session,Pause / Resume,Pause and resume my workout,Persist paused session state locally and/or server-side,High,Medium,Depends on Workout Timer (US-07.2.1).
US-07.4.1-T3,US-07.4.1,Workout Session,Pause / Resume,Pause and resume my workout,Build resume prompt UI on app reopen with a paused session,High,Medium,Depends on Workout Timer (US-07.2.1).
US-07.4.1-T4,US-07.4.1,Workout Session,Pause / Resume,Pause and resume my workout,Write unit + integration tests for pause/resume flows,High,Medium,Depends on Workout Timer (US-07.2.1).
US-07.5.1-T1,US-07.5.1,Workout Session,Completion Tracking,Have my completed workout recorded,Implement session completion status calculation logic,High,Medium,Depends on Pause/Resume (US-07.4.1) and feeds Gamification (EPIC-09) and Progress Tracking (EPIC-10).
US-07.5.1-T2,US-07.5.1,Workout Session,Completion Tracking,Have my completed workout recorded,Persist WorkoutSession and SessionExerciseLog records,High,Medium,Depends on Pause/Resume (US-07.4.1) and feeds Gamification (EPIC-09) and Progress Tracking (EPIC-10).
US-07.5.1-T3,US-07.5.1,Workout Session,Completion Tracking,Have my completed workout recorded,Trigger downstream XP/streak/history update events on completion,High,Medium,Depends on Pause/Resume (US-07.4.1) and feeds Gamification (EPIC-09) and Progress Tracking (EPIC-10).
US-07.5.1-T4,US-07.5.1,Workout Session,Completion Tracking,Have my completed workout recorded,Build post-workout summary screen,High,Medium,Depends on Pause/Resume (US-07.4.1) and feeds Gamification (EPIC-09) and Progress Tracking (EPIC-10).
US-07.5.1-T5,US-07.5.1,Workout Session,Completion Tracking,Have my completed workout recorded,Write unit + integration tests for completion status edge cases,High,Medium,Depends on Pause/Resume (US-07.4.1) and feeds Gamification (EPIC-09) and Progress Tracking (EPIC-10).
US-08.1.1-T1,US-08.1.1,Dashboard,Today's Workout Widget,See today's workout on my dashboard,Build Today's Workout dashboard widget UI,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) and Completion Tracking (US-07.5.1).
US-08.1.1-T2,US-08.1.1,Dashboard,Today's Workout Widget,See today's workout on my dashboard,"Implement backend logic to resolve ""today's"" recommended workout",High,Medium,Depends on Workout Recommendation Engine (EPIC-05) and Completion Tracking (US-07.5.1).
US-08.1.1-T3,US-08.1.1,Dashboard,Today's Workout Widget,See today's workout on my dashboard,Handle not-started/in-progress/completed state rendering,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) and Completion Tracking (US-07.5.1).
US-08.1.1-T4,US-08.1.1,Dashboard,Today's Workout Widget,See today's workout on my dashboard,Write integration tests for widget state resolution,High,Medium,Depends on Workout Recommendation Engine (EPIC-05) and Completion Tracking (US-07.5.1).
US-08.2.1-T1,US-08.2.1,Dashboard,XP Points Display,See my XP on my dashboard,Build XP widget UI on dashboard,Medium,Small,"Depends on XP System (EPIC-09, US-09.1.1)."
US-08.2.1-T2,US-08.2.1,Dashboard,XP Points Display,See my XP on my dashboard,Implement GET endpoint returning current XP total and level progress,Medium,Small,"Depends on XP System (EPIC-09, US-09.1.1)."
US-08.2.1-T3,US-08.2.1,Dashboard,XP Points Display,See my XP on my dashboard,Write integration tests verifying XP widget matches ledger data,Medium,Small,"Depends on XP System (EPIC-09, US-09.1.1)."
US-08.3.1-T1,US-08.3.1,Dashboard,Streaks Display,See my streaks on my dashboard,Build Streaks widget UI on dashboard,Medium,Small,"Depends on Streaks (EPIC-09, US-09.3.1)."
US-08.3.1-T2,US-08.3.1,Dashboard,Streaks Display,See my streaks on my dashboard,Implement GET endpoint returning current and longest streak,Medium,Small,"Depends on Streaks (EPIC-09, US-09.3.1)."
US-08.3.1-T3,US-08.3.1,Dashboard,Streaks Display,See my streaks on my dashboard,Write integration tests for streak display accuracy,Medium,Small,"Depends on Streaks (EPIC-09, US-09.3.1)."
US-08.4.1-T1,US-08.4.1,Dashboard,Workout History Summary,See a summary of my recent workout history on my dashboard,Build Workout History Summary widget UI on dashboard,Medium,Small,Depends on Completion Tracking (US-07.5.1) and Completed Workouts Log (US-10.1.1).
US-08.4.1-T2,US-08.4.1,Dashboard,Workout History Summary,See a summary of my recent workout history on my dashboard,Implement GET endpoint returning recent session summaries,Medium,Small,Depends on Completion Tracking (US-07.5.1) and Completed Workouts Log (US-10.1.1).
US-08.4.1-T3,US-08.4.1,Dashboard,Workout History Summary,See a summary of my recent workout history on my dashboard,Wire navigation from widget to full history screen,Medium,Small,Depends on Completion Tracking (US-07.5.1) and Completed Workouts Log (US-10.1.1).
US-08.4.1-T4,US-08.4.1,Dashboard,Workout History Summary,See a summary of my recent workout history on my dashboard,Write integration tests for summary accuracy,Medium,Small,Depends on Completion Tracking (US-07.5.1) and Completed Workouts Log (US-10.1.1).
US-08.5.1-T1,US-08.5.1,Dashboard,Progress Overview,See an overview of my progress on my dashboard,Build Progress Overview widget UI on dashboard,Medium,Small,Depends on Goal Progress Tracking (US-10.3.1).
US-08.5.1-T2,US-08.5.1,Dashboard,Progress Overview,See an overview of my progress on my dashboard,Implement GET endpoint returning weekly progress summary,Medium,Small,Depends on Goal Progress Tracking (US-10.3.1).
US-08.5.1-T3,US-08.5.1,Dashboard,Progress Overview,See an overview of my progress on my dashboard,Wire navigation from widget to Goal Progress detail screen,Medium,Small,Depends on Goal Progress Tracking (US-10.3.1).
US-08.5.1-T4,US-08.5.1,Dashboard,Progress Overview,See an overview of my progress on my dashboard,Write integration tests for overview accuracy,Medium,Small,Depends on Goal Progress Tracking (US-10.3.1).
US-09.1.1-T1,US-09.1.1,Gamification,XP System,Earn XP for completing workouts,Define XP award rules per event type,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.1.1-T2,US-09.1.1,Gamification,XP System,Earn XP for completing workouts,Implement XP ledger data model (append-only),High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.1.1-T3,US-09.1.1,Gamification,XP System,Earn XP for completing workouts,Implement XP award trigger on session completion events,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.1.1-T4,US-09.1.1,Gamification,XP System,Earn XP for completing workouts,Write unit tests for XP award calculation per scenario,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.2.1-T1,US-09.2.1,Gamification,Levels,Level up as I earn XP,Define level threshold curve,Medium,Small,Depends on XP System (US-09.1.1).
US-09.2.1-T2,US-09.2.1,Gamification,Levels,Level up as I earn XP,Implement level calculation from XP total,Medium,Small,Depends on XP System (US-09.1.1).
US-09.2.1-T3,US-09.2.1,Gamification,Levels,Level up as I earn XP,Build level-up celebratory UI moment,Medium,Small,Depends on XP System (US-09.1.1).
US-09.2.1-T4,US-09.2.1,Gamification,Levels,Level up as I earn XP,Write unit tests for level threshold boundaries,Medium,Small,Depends on XP System (US-09.1.1).
US-09.3.1-T1,US-09.3.1,Gamification,Streaks,Build and maintain a workout streak,Define streak and grace-day rules,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.3.1-T2,US-09.3.1,Gamification,Streaks,Build and maintain a workout streak,Implement streak calculation job (scheduled + on-completion triggers),High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.3.1-T3,US-09.3.1,Gamification,Streaks,Build and maintain a workout streak,Persist current and longest streak values,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.3.1-T4,US-09.3.1,Gamification,Streaks,Build and maintain a workout streak,"Write unit tests for streak edge cases (misses, grace day, resets)",High,Medium,Depends on Completion Tracking (US-07.5.1).
US-09.4.1-T1,US-09.4.1,Gamification,Achievements,Earn achievement badges,Define MVP badge list and criteria,Medium,Medium,Depends on Completion Tracking (US-07.5.1) and Streaks (US-09.3.1).
US-09.4.1-T2,US-09.4.1,Gamification,Achievements,Earn achievement badges,Implement badge evaluation logic triggered by relevant events,Medium,Medium,Depends on Completion Tracking (US-07.5.1) and Streaks (US-09.3.1).
US-09.4.1-T3,US-09.4.1,Gamification,Achievements,Earn achievement badges,Implement duplicate-award prevention,Medium,Medium,Depends on Completion Tracking (US-07.5.1) and Streaks (US-09.3.1).
US-09.4.1-T4,US-09.4.1,Gamification,Achievements,Earn achievement badges,Build Achievements screen UI (earned + locked badges),Medium,Medium,Depends on Completion Tracking (US-07.5.1) and Streaks (US-09.3.1).
US-09.4.1-T5,US-09.4.1,Gamification,Achievements,Earn achievement badges,Write unit tests for each badge's criteria,Medium,Medium,Depends on Completion Tracking (US-07.5.1) and Streaks (US-09.3.1).
US-10.1.1-T1,US-10.1.1,Progress Tracking,Completed Workouts Log,View my completed workouts,Build Workout History list UI,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-10.1.1-T2,US-10.1.1,Progress Tracking,Completed Workouts Log,View my completed workouts,Implement GET endpoint for paginated session history,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-10.1.1-T3,US-10.1.1,Progress Tracking,Completed Workouts Log,View my completed workouts,Build workout detail view for a single past session,High,Medium,Depends on Completion Tracking (US-07.5.1).
US-10.1.1-T4,US-10.1.1,Progress Tracking,Completed Workouts Log,View my completed workouts,Implement empty-state UI,High,Medium,Depends on Completion Tracking (US-07.5.1).
