Story ID,Epic,Feature,Story Title,User Story,Acceptance Criteria (Given/When/Then),Definition of Done,Dependencies,Priority,Complexity
US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,"As a user, I want to chat with my AI Avatar via text or voice at any time so that I can ask questions or just talk through how I'm feeling about my fitness journey.","1. Given I am on any screen in the app, When I open the AI chat interface, Then I can send a text or voice message and receive a relevant response.
2. Given I ask the AI Avatar to explain an exercise from my current plan, When it responds, Then the explanation is based on the actual exercise library data, not invented content.
3. Given my message is ambiguous or the AI is uncertain, When it responds, Then it asks a brief clarifying question rather than guessing and acting incorrectly.",Code merged to main; chat available from all primary screens; response latency within target; guardrails verified against test prompts; QA sign-off; no critical/high bugs open.,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.,High,Large
US-06.4.1,AI Avatar,Adjustable Talkativeness,Adjust how talkative my AI Avatar is,"As a user, I want to control how often my AI Avatar proactively talks to me so that the experience matches my personal preference for support versus independence.","1. Given I am in Settings, When I view AI Avatar preferences, Then I can choose between Minimal, Balanced, and High talkativeness levels.
2. Given I select a talkativeness level, When I save the setting, Then it is applied immediately to future proactive messages.
3. Given I set talkativeness to High, When the app would normally stay quiet, Then I instead receive more frequent proactive check-ins, subject to a sensible daily cap.",Code merged to main; setting persists across sessions; all three levels produce visibly different proactive behavior in testing; QA sign-off; no critical/high bugs open.,None (foundational setting consumed by US-06.2.1 and other proactive messaging features).,High,Small
US-07.1.1,Workout Session,Exercise Instructions Display,See instructions for each exercise,"As a user, I want to see clear instructions for each exercise so that I know how to perform it correctly.","1. Given I am in an active workout session, When an exercise begins, Then its name, target sets/reps, and step-by-step instructions are displayed.
2. Given I want more detail on an exercise, When I tap/ask for more information, Then expanded instructional text (setup, execution, common mistakes) is shown.
3. Given an exercise has no image/animation available in MVP, When instructions are displayed, Then text-based instructions are still complete and usable on their own.",Code merged to main; instructions render correctly for all library exercises; expanded detail view tested; QA sign-off; no critical/high bugs open.,Depends on Workout Recommendation Engine (EPIC-05) exercise library data.,High,Medium
US-07.2.1,Workout Session,Workout Timer,Use timers during my workout,"As a user, I want timers for exercises and rest periods so that I can keep proper pace without manually tracking time.","1. Given an exercise is time-based (e.g., a plank hold), When it begins, Then a countdown timer starts automatically and the AI/UI signals when time is up.
2. Given I complete a set of a rep-based exercise, When a rest period is prescribed, Then a rest timer starts automatically and counts down to zero.
3. Given a timer is running, When I background the app briefly, Then the timer continues accurately and reflects elapsed time when I return.",Code merged to main; timer accuracy verified including backgrounding behavior on both platforms; audio/visual end-of-timer signal tested; QA sign-off; no critical/high bugs open.,Depends on Exercise Instructions Display (US-07.1.1) for session screen structure.,High,Medium
US-07.3.1,Workout Session,Workout Progress Indicator,See my progress through the workout,"As a user, I want to see how far along I am in my workout so that I know what's left and can pace myself.","1. Given I am in an active session, When I view the session screen, Then a progress indicator shows my position relative to the total number of exercises.
2. Given I complete an exercise, When I advance to the next one, Then the progress indicator updates accordingly.
3. Given I am on the last exercise, When I view the progress indicator, Then it clearly reflects that the session is nearly complete.",Code merged to main; progress indicator accurate across all session lengths tested; QA sign-off; no critical/high bugs open.,Depends on Exercise Instructions Display (US-07.1.1).,Medium,Small
US-07.4.1,Workout Session,Pause / Resume,Pause and resume my workout,"As a user, I want to pause my workout and resume later so that I can handle interruptions without losing my progress.","1. Given I am in an active session, When I tap Pause, Then all timers stop and the session state is preserved.
2. Given my session is paused, When I tap Resume, Then the session continues exactly where I left off, including timer values.
3. Given I leave the app while paused, When I return within a reasonable window, Then I am offered the option to resume the paused session.",Code merged to main; pause/resume state persisted correctly across app backgrounding; resume offer tested after app restart; QA sign-off; no critical/high bugs open.,Depends on Workout Timer (US-07.2.1).,High,Medium
US-07.5.1,Workout Session,Completion Tracking,Have my completed workout recorded,"As a user, I want my completed (or partially completed) workout to be saved so that it counts toward my history, streaks, and XP.","1. Given I finish all exercises in a session, When the last exercise is marked complete, Then the session is recorded with status ""full"" and routed to the post-workout summary.
2. Given I exit a session having completed 50% or more of its exercises, When I exit, Then the session is recorded with status ""partial"".
3. Given I exit a session having completed less than 50% of its exercises, When I exit, Then the session is recorded with status ""abandoned"" and does not award completion-based XP.",Code merged to main; all three completion statuses correctly computed and persisted in test scenarios; downstream XP/streak triggers verified to fire correctly; QA sign-off; no critical/high bugs open.,Depends on Pause/Resume (US-07.4.1) and feeds Gamification (EPIC-09) and Progress Tracking (EPIC-10).,High,Medium
US-08.1.1,Dashboard,Today's Workout Widget,See today's workout on my dashboard,"As a user, I want to see today's recommended workout on my dashboard so that I can start training without extra navigation.","1. Given I open the app on a day with a planned workout, When the dashboard loads, Then today's recommended workout is shown with a clear ""Start"" action.
2. Given I have already completed today's workout, When the dashboard loads, Then the widget reflects completed status rather than prompting me to start again.
3. Given no workout has been generated for today yet, When the dashboard loads, Then the widget triggers generation or shows a clear call-to-action to get a plan.",Code merged to main; widget reflects correct state across not-started/in-progress/completed scenarios; QA sign-off; no critical/high bugs open.,Depends on Workout Recommendation Engine (EPIC-05) and Completion Tracking (US-07.5.1).,High,Medium
US-08.2.1,Dashboard,XP Points Display,See my XP on my dashboard,"As a user, I want to see my XP total and progress on my dashboard so that I feel a sense of accomplishment.","1. Given I have earned XP, When the dashboard loads, Then my current XP total and progress toward the next level are displayed.
2. Given I earn new XP during a session, When I return to the dashboard, Then the XP display reflects the updated total.",Code merged to main; XP display matches underlying ledger total in all test scenarios; QA sign-off; no critical/high bugs open.,"Depends on XP System (EPIC-09, US-09.1.1).",Medium,Small
US-08.3.1,Dashboard,Streaks Display,See my streaks on my dashboard,"As a user, I want to see my current and longest streaks so that I'm motivated to keep showing up.","1. Given I have an active streak, When the dashboard loads, Then my current streak count and longest streak are both displayed.
2. Given my streak is broken, When the dashboard loads, Then the current streak resets to reflect that, while longest streak remains unchanged.",Code merged to main; streak values match backend streak logic in all test scenarios; QA sign-off; no critical/high bugs open.,"Depends on Streaks (EPIC-09, US-09.3.1).",Medium,Small
US-08.4.1,Dashboard,Workout History Summary,See a summary of my recent workout history on my dashboard,"As a user, I want a quick glance at my recent workouts on my dashboard so that I don't have to dig into a separate screen for a quick check.","1. Given I have completed at least one workout, When the dashboard loads, Then a condensed list of my most recent workouts (e.g., last 3-5) is displayed.
2. Given I tap on the history summary, When I do so, Then I am taken to the full Progress Tracking history view.",Code merged to main; summary list correctly reflects most recent completed sessions; navigation to full history verified; QA sign-off; no critical/high bugs open.,Depends on Completion Tracking (US-07.5.1) and Completed Workouts Log (US-10.1.1).,Medium,Small
US-08.5.1,Dashboard,Progress Overview,See an overview of my progress on my dashboard,"As a user, I want a high-level view of my progress toward my goal so that I can feel motivated and stay oriented on what matters.","1. Given I have completed workouts over time, When the dashboard loads, Then a progress overview (e.g., workouts this week vs. planned) is displayed.
2. Given I tap the progress overview, When I do so, Then I am taken to the detailed Goal Progress view.",Code merged to main; overview values match underlying progress data; navigation to detail view verified; QA sign-off; no critical/high bugs open.,Depends on Goal Progress Tracking (US-10.3.1).,Medium,Small
US-09.1.1,Gamification,XP System,Earn XP for completing workouts,"As a user, I want to earn XP for completing workouts so that my effort is recognized and tracked.","1. Given I complete a full workout session, When the session is recorded, Then a defined amount of XP is awarded and logged.
2. Given I complete a partial workout session, When the session is recorded, Then a reduced amount of XP is awarded.
3. Given I view my XP ledger, When I do so, Then each XP-earning event is individually listed with its source and amount.",Code merged to main; XP awarded matches defined rules in all test scenarios; ledger entries auditable; QA sign-off; no critical/high bugs open.,Depends on Completion Tracking (US-07.5.1).,High,Medium
US-09.2.1,Gamification,Levels,Level up as I earn XP,"As a user, I want my accumulated XP to translate into levels so that I have a sense of long-term progression.","1. Given my XP total crosses the threshold for the next level, When the crossing is detected, Then my level increases and a level-up moment is shown to me.
2. Given I view my dashboard, When I check my level progress, Then I see my current level and how much XP remains until the next level.",Code merged to main; level thresholds documented and unit-tested; level-up UI moment triggers correctly; QA sign-off; no critical/high bugs open.,Depends on XP System (US-09.1.1).,Medium,Small
US-09.3.1,Gamification,Streaks,Build and maintain a workout streak,"As a user, I want to build a streak by working out consistently so that I'm motivated to keep coming back.","1. Given I complete a workout on consecutive scheduled days, When each is recorded, Then my current streak count increases by one each time.
2. Given I miss a single scheduled day but complete a workout the next day, When streak is recalculated, Then my streak is preserved under the grace-day rule.
3. Given I miss more than the allowed grace period, When streak is recalculated, Then my current streak resets to zero while my longest streak record is retained.",Code merged to main; grace-day logic unit-tested against multiple miss patterns; longest-streak retention verified; QA sign-off; no critical/high bugs open.,Depends on Completion Tracking (US-07.5.1).,High,Medium
US-09.4.1,Gamification,Achievements,Earn achievement badges,"As a user, I want to earn badges for milestones so that I have additional goals to look forward to beyond just XP.","1. Given I meet the criteria for a defined badge for the first time (e.g., completing my first workout), When the triggering event is processed, Then the badge is awarded and shown to me with a celebratory moment.
2. Given I have earned some but not all badges, When I view my achievements screen, Then earned and locked badges are both visible, with locked badges showing their criteria.
3. Given a badge has already been earned, When its criteria are met again, Then it is not awarded a second time (no duplicate badges).",Code merged to main; badge criteria documented and unit-tested for each MVP badge; duplicate-prevention verified; QA sign-off; no critical/high bugs open.,Depends on Completion Tracking (US-07.5.1) and Streaks (US-09.3.1).,Medium,Medium
US-10.1.1,Progress Tracking,Completed Workouts Log,View my completed workouts,"As a user, I want to see a list of all my completed workouts so that I can review what I've done.","1. Given I have completed one or more workouts, When I open the Workout History screen, Then each completed session is listed with date, workout name, duration, and completion status.
2. Given I tap a specific past workout, When I do so, Then I see its full exercise breakdown and completion details.
3. Given I have no completed workouts yet, When I open the Workout History screen, Then I see an appropriate empty state rather than a blank or broken screen.",Code merged to main; list reflects all session statuses correctly; empty state designed and implemented; QA sign-off; no critical/high bugs open.,Depends on Completion Tracking (US-07.5.1).,High,Medium
US-10.2.1,Progress Tracking,Historical Data View,Browse my historical activity over time,"As a user, I want to view my activity trends over weeks or months so that I can understand my consistency over time.","1. Given I have workout history spanning multiple weeks, When I open the Historical Data view, Then I can switch between weekly and monthly views of my activity.
2. Given I select a specific past week or month, When I view it, Then I see the number of workouts completed and total time/calories for that period.
3. Given I have insufficient history for a selected period (e.g., a month before I joined), When I view it, Then the view clearly shows zero/no-data rather than an error.",Code merged to main; weekly/monthly aggregation verified against underlying session data; no-data periods handled gracefully; QA sign-off; no critical/high bugs open.,Depends on Completed Workouts Log (US-10.1.1).,Medium,Medium
US-10.3.1,Progress Tracking,Goal Progress Tracking,Track my progress toward my fitness goal,"As a user, I want to see how I'm progressing toward my stated fitness goal so that I know if I'm on track.","1. Given I have a Fitness Goal set and workout history, When I view Goal Progress, Then I see a goal-relevant progress indicator (e.g., consistency rate, sessions completed in-category).
2. Given I update my Fitness Goal, When I save the change, Then Goal Progress tracking resets/adapts to reflect the new goal rather than mixing metrics from the old one.",Code merged to main; goal-progress calculation documented per goal type and unit-tested; goal-change handling verified; QA sign-off; no critical/high bugs open.,Depends on Completed Workouts Log (US-10.1.1) and Profile Data Collection (US-02.1.1).,Medium,Medium
US-10.4.1,Progress Tracking,Fitness Improvement Insights,See insights about my fitness improvements,"As a user, I want to see simple insights about my improvement over time so that I feel encouraged by tangible signs of progress.","1. Given I have sufficient workout history, When I view the Fitness Improvement Insights section, Then I see at least one trend insight (e.g., ""You've worked out 20% more this month than last"").
2. Given I have insufficient history to generate a meaningful insight, When I view the section, Then I see a friendly placeholder encouraging continued use rather than a misleading or empty insight.",Code merged to main; insight calculations unit-tested; placeholder state for low-data users implemented; QA sign-off; no critical/high bugs open.,Depends on Historical Data View (US-10.2.1).,Low,Medium
